project_name,description,department,county,sub_county,ward,location_address,location_coordinates,project_year,start_date,expected_completion_date,contractor_name,contractor_contact,step_name,step_description
Migori County Health Center Construction,Construction of a modern health center to serve the local community with medical facilities and equipment,Health,Migori,Migori Central,Central Ward,"Migori Town Center, near the main market","-1.0634,34.4731",2024,1/15/2024 0:00,12/31/2024 0:00,ABC Construction Ltd,2.54712E+11,Project Planning & Approval,"Initial project planning, design review, and regulatory approval process"
Migori-Isebania Road Improvement,Upgrading of 15km stretch of Migori-Isebania road with tarmac surface and proper drainage,Roads and Transport,Migori,Migori,Central Sakwa,"Migori-Isebania Highway, Migori Town","-1.0634,34.4731",2024,1/15/2024 0:00,12/31/2024 0:00,Kens Construction Ltd,2.54712E+11,Road Survey and Design,Conduct topographical survey and prepare detailed engineering designs
Rongo Market Upgrade,Construction of modern market stalls with proper sanitation and drainage facilities,Trade and Commerce,Migori,Rongo,East Kamagambo,Rongo Town Center,"-1.2345,34.6789",2024,3/1/2024 0:00,8/30/2024 0:00,Unity Builders,2.54723E+11,Site Preparation,Clear site and prepare foundation for market construction
Nyatike Health Center Extension,Addition of maternity wing and medical equipment procurement,Health Services,Migori,Nyatike,North Kadem,Nyatike Health Center,"-1.1234,34.1234",2024,2/1/2024 0:00,11/30/2024 0:00,Medical Contractors Kenya,2.54735E+11,Architectural Planning,Design maternity wing and plan equipment installation
Oyani SDA Dispensary expansion,contruction of ward fercility,Health,Migori,Uriri,West Kanyamkago,Oyani SDA,"-0.951454, 34.443863",2025,,,ABC Construction Ltd,727266454,Project Planning & Approval,"Initial project planning, design review, and regulatory approval process"
Kaminolewe market construction,kaminolewe market improvement to market standards,Trade and Commerce,Migori,Uriri,West Kanyamkago,Kaminolewe market,"-0.950614, 34.447275",2026,,,ABC Construction Ltd,726473575,Project Planning & Approval,"Initial project planning, design review, and regulatory approval process"
Kuria East Borehole Project,Drilling and equipping boreholes to improve water access.,Environment,Migori,Suna West,Central Ward,"West Kanyamkago, Suna West","-1.1234,34.1234",2025,9/24/2024,4/1/2025,XYZ Construction Ltd,786968006,Inspection,Monitoring and quality check
Migori Green Park,Establishment of an urban recreational park with landscaping.,Roads and Transport,Migori,Kuria West,Kakrao Ward,"North Sakwa Ward, Kuria West","-1.3167,34.4833",2024,7/28/2024,7/12/2025,Unity Construction Ltd,728209597,Commissioning,Bidding and contract award
Suna West ECD Centers,Construction of Early Childhood Development classrooms.,Environment,Migori,Kuria East,Karungu Ward,"Ntimaru Ward, Rongo","-0.970066,34.496477",2026,8/8/2024,11/27/2025,XYZ Construction Ltd,785083536,Inspection,Bidding and contract award
